Date,Time,Tank,Salinity,Trial
2022-07-07,0950,X,35,feeding1
2022-07-07,0950,Y,35,feeding1
2022-07-08,0935,X,35,feeding1
2022-07-08,0935,Y,35,feeding1
2022-07-09,1010,X,34,feeding1
2022-07-09,1010,Y,34,feeding1
2022-07-10,1015,X,34,feeding1
2022-07-10,1015,Y,35,feeding1
2022-07-10,1825,X,34,feeding1
2022-07-10,1825,Y,35,feeding1
2022-07-12,0850,X,35,feeding1
2022-07-12,0850,Y,35,feeding1
2022-07-13,0835,X,35,feeding1
2022-07-13,0835,Y,35,feeding1
2022-07-13,1345,X,35,feeding1
2022-07-13,1345,Y,35,feeding1
2022-07-14,0825,X,35,feeding1
2022-07-14,0825,Y,35,feeding1
2022-07-14,1720,X,34,feeding1
2022-07-14,1720,Y,34,feeding1
2022-07-15,0855,X,33,feeding1
2022-07-15,0855,Y,34,feeding1
2022-07-15,1400,X,34,feeding1
2022-07-15,1400,Y,33,feeding1
2022-07-16,0945,X,35,feeding1
2022-07-16,0945,Y,35,feeding1
2022-07-16,1645,X,35,feeding1
2022-07-16,1645,Y,35,feeding1
2022-07-17,0930,X,35,feeding1
2022-07-17,0930,Y,35,feeding1
2022-07-17,1940,X,35,feeding1
2022-07-17,1940,Y,35,feeding1
2022-07-18,0700,X,35,feeding1
2022-07-18,0700,Y,35,feeding1
2022-07-27,1300,X,30,feeding2
2022-07-27,1300,Y,29,feeding2
2022-07-28,0850,X,31,feeding2
2022-07-28,0850,Y,31,feeding2
2022-07-28,1445,X,30,feeding2
2022-07-28,1445,Y,31,feeding2
2022-07-29,0850,X,34,feeding2
2022-07-29,0850,Y,33,feeding2
2022-07-29,1550,X,32,feeding2
2022-07-29,1550,Y,31,feeding2
2022-07-30,0900,X,34,feeding2
2022-07-30,0900,Y,34,feeding2
2022-07-30,1626,X,33,feeding2
2022-07-30,1626,Y,31,feeding2
2022-07-31,0945,X,35,feeding2
2022-07-31,0945,Y,35,feeding2
2022-07-31,1540,X,35,feeding2
2022-07-31,1540,Y,35,feeding2
2022-08-01,0945,X,34,feeding2
2022-08-01,0945,Y,33,feeding2
2022-08-01,1600,X,32,feeding2
2022-08-01,1600,Y,32,feeding2
2022-08-02,0940,X,34,feeding2
2022-08-02,0940,Y,37,feeding2
2022-08-02,1220,X,34,feeding2
2022-08-02,1220,Y,33,feeding2
2022-08-03,0920,Y,35,feeding2
2022-08-03,0920,X,34,feeding2
2022-08-04,0830,X,33,feeding2
2022-08-04,0830,Y,34,feeding2
2022-08-05,0855,X,34,feeding2
2022-08-05,0855,Y,34,feeding2
2022-08-05,1515,Y,33,feeding2
2022-08-05,1515,X,31,feeding2
2022-08-06,0920,X,34,feeding2
2022-08-06,0920,Y,34,feeding2
2022-08-14,2000,X,33,feeding3
2022-08-14,2000,Y,33,feeding3
2022-08-16,0930,X,35,feeding3
2022-08-16,0930,Y,36,feeding3
2022-08-17,1620,X,35,feeding3
2022-08-17,1620,Y,36,feeding3
2022-08-18,0840,X,35,feeding3
2022-08-18,0840,Y,35,feeding3
2022-08-19,0920,X,34,feeding3
2022-08-19,0920,Y,34,feeding3
2022-08-20,1020,X,33,feeding3
2022-08-20,1020,Y,33,feeding3
2022-08-20,1740,Y,34,feeding3
2022-08-20,1740,X,34,feeding3
2022-08-21,1000,Y,33,feeding3
2022-08-21,1000,X,33,feeding3
2022-08-22,0815,X,35,feeding3
2022-08-22,0815,Y,34,feeding3
2022-08-23,1220,X,34,feeding3
2022-08-23,1220,Y,35,feeding3
2022-09-07,1620,X,35,feeding4
2022-09-07,1620,Y,35,feeding4
2022-09-07,1620,Z,35,feeding4
2022-09-08,1115,X,34,feeding4
2022-09-08,1115,Y,35,feeding4
2022-09-08,1115,Z,35,feeding4
2022-09-09,0930,X,34,feeding4
2022-09-09,0930,Y,34,feeding4
2022-09-09,0930,Z,34,feeding4
2022-09-10,1040,X,35,feeding4
2022-09-10,1040,Y,35,feeding4
2022-09-10,1040,Z,35,feeding4
2022-09-11,1025,X,35,feeding4
2022-09-11,1025,Y,35,feeding4
2022-09-11,1025,Z,35,feeding4
2022-09-12,1115,X,35,feeding4
2022-09-12,1115,Y,35,feeding4
2022-09-12,1115,Z,35,feeding4
2022-09-13,1025,X,35,feeding4
2022-09-13,1025,Y,35,feeding4
2022-09-13,1025,Z,36,feeding4
2022-09-14,1820,X,35,feeding4
2022-09-14,1820,Y,35,feeding4
2022-09-14,1820,Z,35,feeding4
2022-09-15,0950,X,36,feeding4
2022-09-15,0950,Y,36,feeding4
2022-09-15,0950,Z,37,feeding4
2022-09-16,0840,X,35,feeding4
2022-09-16,0840,Y,35,feeding4
2022-09-16,0840,Z,35,feeding4
2022-09-17,0900,X,35,feeding4
2022-09-17,0900,Y,35,feeding4
2022-09-17,0900,Z,36,feeding4
2022-09-18,0815,X,34,feeding4
2022-09-18,0815,Y,34,feeding4
2022-09-18,0815,Z,34,feeding4
