pycnoID,diameter_cm,collection_date,collection_location,feeding_trial,trial_begin,trial_end,notes
Goose1,44,2022-06-26,Goose Island,feeding1,2022-07-07,2022-07-19,"first day = acclimation, last day = observation for expulsions"
PtCaution2,39,2022-07-05,Pt. Caution,feeding1,2022-07-07,2022-07-19,"first day = acclimation, last day = observation for expulsions"
Goose2,50,2022-06-26,Goose Island,feeding2,2022-07-27,2022-08-08,"first day = acclimation, last day = observation for expulsions"
Docks3,45,2022-07-20,FHL Docks,feeding2,2022-07-27,2022-08-08,"first day = acclimation, last day = observation for expulsions, may be the same pycno as Docks2 (recollected)"
ONeal1,52,2022-08-02,O'Neal Island,feeding3,2022-08-14,2022-08-25,"first day = acclimation, last day = observation for expulsions, may be the same pycno as Docks2 (recollected)"
Eagle1,50,2022-08-11,Eagle Cove,feeding3,2022-08-14,2022-08-25,"first day = acclimation, last day = observation for expulsions, may be the same pycno as Docks2 (recollected)"
Eagle2,54,2022-08-17,Eagle Cove,feeding4,2022-09-07,2022-09-18,"first day = acclimation, last day = end of exp plus extra observation for expulsions"
Eagle3,47,2022-08-17,Eagle Cove,feeding4,2022-09-07,2022-09-18,"first day = acclimation, last day = end of exp plus extra observation for expulsions"
Eagle4,55,2022-08-17,Eagle Cove,feeding4,2022-09-07,2022-09-18,"first day = acclimation, last day = end of exp plus extra observation for expulsions"
Eagle5,50,2022-08-17,Eagle Cove,feeding5,2022-09-29,2022-10-09,
Eagle6,51,2022-08-17,Eagle Cove,feeding5,2022-09-29,2022-10-09,
