Kingdom	Phylum	Class	Order	Family	Genus	Species	Classcode	taxonomic_source	taxonomic_id
Animalia	Echinodermata	Asteroidea	Valvatida	Asterinidae	Patiria	miniata	bat star	www.marinespecies.org	382131
Animalia	Cnidaria	Anthozoa	Alcyonacea	Plexauridae	Muricea	fruticosa/californica	brown/golden gorgonian	www.marinespecies.org	177745
Animalia	Echinodermata	Holothuroidea	Synallactida	Stichopodidae	Parastichopus	californicus	CA sea cucumber	www.marinespecies.org	711954
Animalia	Arthropoda	Malacostraca	Decapoda	Palinuridae	Panulirus	interruptus	CA spiny lobster	www.marinespecies.org	382898
Animalia	Mollusca	Gastropoda	Littorinimorpha 	Cypraeidae	Neobernaya	spadicea	chestnut cowry	www.marinespecies.org	580674
Animalia	Echinodermata	Echinoidea	Diadematoida	Diadematidae	Centrostephanus	coronatus	crowned urchin	www.marinespecies.org	513165
Animalia	Mollusca	Gastropoda	Lepetellida	Haliotididae	Haliotis	walallensis 	flat abalone	www.marinespecies.org	445374
Animalia	Mollusca	Gastropoda	Lepetellida 	Fissurellidae	Megathura	crenulata	giant keyhole limpet	www.marinespecies.org	527885
Animalia	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Pisaster	giganteus	giant spined star	www.marinespecies.org	240758
Animalia	Mollusca	Gastropoda	Lepetellida	Haliotididae	Haliotis	fulgens	green abalone	www.marinespecies.org	445325
Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Cryptochiton	stelleri	gumboot chiton	www.marinespecies.org	240776
Animalia	Mollusca	Gastropoda	Neogastropoda	Buccinidae	Kelletia	kelletii	Kellet's whelk	www.marinespecies.org	491054
Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae		all spp.	large anemone	www.marinespecies.org	100653
Animalia	Mollusca	Gastropoda	Lepetellida	Haliotididae	Haliotis	kamtschatkana	pinto abalone	www.marinespecies.org	405014
Animalia	Echinodermata	Echinoidea	Camarodonta 	Strongylocentrotidae	Strongylocentrotus	purpuratus	purple urchin	www.marinespecies.org	240747
Animalia	Mollusca	Gastropoda	Lepetellida	Haliotididae	Haliotis	rufescens	red abalone	www.marinespecies.org	445357
Animalia	Cnidaria	Anthozoa	Alcyonacea	Holaxonia	Leptogorgia	chilensis	red gorgonian	www.marinespecies.org	286222
Animalia	Echinodermata	Echinoidea	Camarodonta 	Strongylocentrotidae	Mesocentrotus	francicanus	red urchin	www.marinespecies.org	591102
Animalia	Arthropoda	Malacostraca	Decapoda	Cancridae 	Cancer	spp.	rock crab	www.marinespecies.org	106876
Animalia	Mollusca	Bivalvia	Pectinoida	Pectinidae	Crassadoma	giganteum	rock scallop	www.marinespecies.org	240774
Animalia	Arthropoda	Malacostraca	Decapoda	Epialtidae 	Loxorhynchus	grandis/crispatus	sheep/masking crab	www.marinespecies.org	390853
Animalia	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Pisaster	brevispinus	short spined sea star	www.marinespecies.org	240757
Animalia	Echinodermata	Asteroidea	Valvatida	Solasteridae 	Solaster	spp.	sun star	www.marinespecies.org	123338
Animalia	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Pycnopodia	helianthoides	sunflower star	www.marinespecies.org	240764
Animalia	Echinodermata	Holothuroidea	Synallactida	Stichopodidae	Apostichopus	parvimensis	warty sea cucumber	www.marinespecies.org	529435  
Animalia	Mollusca	Gastropoda	Trochida	Turbinidae	Megastrea/Lithopoma	undosa/gibberosa	wavy/red turban snail	www.marinespecies.org	NA
Animalia	Mollusca	Gastropoda	Lepetellida	Haliotididae	Haliotis	craherodii	black abalone	www.marinespecies.org	405012
Animalia	Mollusca	Gastropoda	Lepetellida	Haliotididae	Haliotis	corrugata	pink abalone	www.marinespecies.org	445308
Animalia	Echinodermata	Asteroidea	Valvatida	Asteropseidae 	Dermasterias	imbricata	leather star	www.marinespecies.org	240771
Animalia	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Pisaster	ochraceus	ochre sea star	www.marinespecies.org	240755
Animalia	Mollusca	Gastropoda	Aplysiida 	Aplysiidae 	Aplysia	californica	California sea hare	www.marinespecies.org	240765
Animalia	Mollusca	Gastropoda	Aplysiida 	Aplysiidae 	Aplysia	vaccaria	black sea hare	www.marinespecies.org	568031
