Pycnopodia,Prey,AUC
,,
FHL Docks,mussel,1
FHL Docks,green urchin,0.98
FHL Docks,red urchin,0.15
FHL Docks,purple urchin,0.11
FHL Docks,cucumber,0
Eagle Cove 1,mussel,1
Eagle Cove 1,red urchin,0
Eagle Cove 1,purple urchin,0
Eagle Cove 1,green urchin,0
Eagle Cove 1,cucumber,0
Eagle Cove 2,purple urchin,1
Eagle Cove 2,green urchin,0.7
Eagle Cove 2,red urchin,0.51
Eagle Cove 2,mussel,0
Eagle Cove 2,cucumber,0
Eagle Cove 3,purple urchin,1
Eagle Cove 3,green urchin,0.78
Eagle Cove 3,mussel,0.15
Eagle Cove 3,red urchin,0.14
Eagle Cove 3,cucumber,0
Eagle Cove 4,purple urchin,1
Eagle Cove 4,green urchin,0.32
Eagle Cove 4,red urchin,0
Eagle Cove 4,mussel,0
Eagle Cove 4,cucumber,0
Eagle Cove 5,mussel,1
Eagle Cove 5,green urchin,0.31
Eagle Cove 5,red urchin,0.26
Eagle Cove 5,purple urchin,0.21
Eagle Cove 5,cucumber,0
Eagle Cove 6,purple urchin,1
Eagle Cove 6,mussel,0.55
Eagle Cove 6,green urchin,0.13
Eagle Cove 6,red urchin,0.01
Eagle Cove 6,cucumber,0
Goose Is. 1,green urchin,1
Goose Is. 1,purple urchin,0.02
Goose Is. 1,red urchin,0.02
Goose Is. 1,mussel,0
Goose Is. 1,cucumber,0
Goose Is. 2,mussel,1
Goose Is. 2,red urchin,0.85
Goose Is. 2,green urchin,0.66
Goose Is. 2,purple urchin,0
Goose Is. 2,cucumber,0
ONeal Is.,mussel,1
ONeal Is.,cucumber,0.34
ONeal Is.,purple urchin,0.25
ONeal Is.,green urchin,0
ONeal Is.,red urchin,0
Pt. Caution,mussel,1
Pt. Caution,purple urchin,0.37
Pt. Caution,green urchin,0.14
Pt. Caution,red urchin,0
Pt. Caution,cucumber,0
